  PID TTY          TIME CMD
 4030 ?        00:00:00 csd-printer
 4033 ?        00:00:00 mission-control
 4054 ?        00:00:00 gnome-keyring-d
 4068 ?        00:00:00 gnome-pty-helpe
 4069 pts/0    00:00:00 ur1shell
 4077 ?        00:00:00 cinnamon2d
 4078 ?        00:43:34 cinnamon
 4091 ?        00:00:00 gvfs-afc-volume
 4101 ?        00:00:00 gvfs-mtp-volume
 4147 ?        00:00:00 tracker-miner-a
 4149 ?        00:00:00 tracker-extract
 4152 ?        00:00:00 evolution-alarm
 4156 ?        00:00:00 tracker-store
 4159 ?        00:00:00 tracker-miner-f
 4175 ?        00:00:00 nm-applet
 4176 ?        00:00:00 tracker-miner-u
 4177 ?        00:00:00 nemo-desktop
 4188 ?        00:00:00 cinnamon-killer
 4191 ?        00:00:00 polkit-gnome-au
 4196 ?        00:00:00 abrt-applet
 4209 ?        00:00:00 evolution-sourc
 4258 ?        00:00:00 gvfsd-trash
 4275 ?        00:00:00 gvfsd-metadata
 4292 ?        00:00:00 evolution-calen
 4300 ?        00:00:00 evolution-calen
 4326 ?        00:00:00 evolution-addre
 4331 ?        00:00:00 evolution-calen
 4360 ?        00:00:00 evolution-addre
 4398 ?        00:00:00 cinnamon-screen
 4429 ?        00:00:00 applet.py
 4432 ?        00:00:00 nemo
 4483 ?        00:00:05 okular
 4486 ?        00:00:00 gconfd-2
 4495 ?        00:00:00 kdeinit4
 4497 ?        00:00:00 klauncher
 4499 ?        00:00:00 kded4
 4504 ?        00:00:00 gam_server
 4890 ?        00:01:41 firefox
 4976 ?        00:00:04 Web Content
 5022 ?        00:00:00 kworker/1:0
 5031 ?        00:03:27 Web Content
 5102 ?        00:00:00 Web Content
 5684 ?        00:00:00 kworker/0:0
 5788 pts/0    00:00:00 vim
 5826 ?        00:00:00 kworker/1:2
 5899 ?        00:00:00 kworker/3:0
 6442 ?        00:00:00 kworker/2:1
 6578 ?        00:00:00 kworker/1:1
 6611 ?        00:00:00 kworker/u8:1
 6844 ?        00:00:00 kworker/2:2
 6900 ?        00:00:00 sleep
 6928 pts/0    00:00:00 ps
26048 ?        00:00:00 kworker/3:2
